"","year","Station","Average"
"1",2007,"Aylesford",4.0888016713855
"2",2008,"Aylesford",4.87953836838279
"3",2009,"Aylesford",5.57422947371342
"4",2010,"Aylesford",4.80336723191268
"5",2011,"Aylesford",4.11281911532544
"6",2012,"Aylesford",4.32494774578883
"7",2013,"Aylesford",4.8452686274008
"8",2014,"Aylesford",5.48347841285255
"9",2015,"Aylesford",5.6653141034341
"10",2016,"Aylesford",6.19422616965369
"11",2006,"Halifax",6.75790149302507
"12",2007,"Halifax",6.12546235607341
"13",2008,"Halifax",5.63175371652536
"14",2009,"Halifax",5.18849210764635
"15",2010,"Halifax",7.13659167526575
"16",2011,"Halifax",6.99826840728704
"17",2012,"Halifax",8.66156823068501
"18",2013,"Halifax",4.72776190666476
"19",2014,"Halifax",4.4442590784176
"20",2015,"Halifax",4.83882507405087
"21",2016,"Halifax",5.46909243034264
"22",2016,"Kentville",4.95672670806911
"23",2001,"Lake Major",6.30133628812706
"24",2002,"Lake Major",4.12960644041929
"25",2003,"Lake Major",4.46500950914689
"26",2004,"Lake Major",4.05301692184677
"27",2005,"Lake Major",4.45659380363251
"28",2006,"Lake Major",5.67792470595885
"29",2007,"Lake Major",3.36162034292032
"30",2008,"Lake Major",3.27573768524436
"31",2009,"Lake Major",4.66012809619318
"32",2010,"Lake Major",4.6594081598594
"33",2011,"Lake Major",6.06990849378541
"34",2012,"Lake Major",5.8960820405663
"35",2013,"Lake Major",6.45218464647035
"36",2014,"Lake Major",5.90408847914477
"37",2015,"Lake Major",5.37155249142493
"38",2016,"Lake Major",4.90079541876983
"39",2003,"Pictou",10.865667129071
"40",2004,"Pictou",7.84113623867578
"41",2005,"Pictou",6.84849810852131
"42",2006,"Pictou",8.19244002662445
"43",2007,"Pictou",6.08909923284952
"44",2008,"Pictou",5.70151660217191
"45",2009,"Pictou",6.65862291653886
"46",2010,"Pictou",8.31782629441448
"47",2011,"Pictou",6.93062779310707
"48",2012,"Pictou",7.16082067392011
"49",2013,"Pictou",7.1261125524417
"50",2014,"Pictou",8.1798660521471
"51",2015,"Pictou",7.07510650501306
"52",2016,"Pictou",4.49021960503063
"53",2010,"Port Hawkesbury",8.12406823981892
"54",2011,"Port Hawkesbury",7.03029778500156
"55",2012,"Port Hawkesbury",5.94766710964269
"56",2013,"Port Hawkesbury",6.29978959125162
"57",2014,"Port Hawkesbury",6.13601782342754
"58",2015,"Port Hawkesbury",5.96814227213315
"59",2016,"Port Hawkesbury",4.97123120935167
"60",2003,"Sable Island",10.2320501403184
"61",2004,"Sable Island",7.30154581098477
"62",2005,"Sable Island",9.33680203521891
"63",2006,"Sable Island",8.6846428032569
"64",2007,"Sable Island",9.15413009383873
"65",2008,"Sable Island",13.5391330761234
"66",2009,"Sable Island",11.6254271071756
"67",2011,"Sable Island",4.7193556391719
"68",2012,"Sable Island",5.27551309505832
"69",2013,"Sable Island",8.27316672326638
"70",2014,"Sable Island",7.90915247918015
"71",1998,"Sydney",8.85380278653771
"72",1999,"Sydney",11.896385105624
"73",2000,"Sydney",11.1184258731169
"74",2001,"Sydney",5.01409063736836
"75",2002,"Sydney",5.26843713079143
"76",2003,"Sydney",4.9096376087545
"77",2004,"Sydney",6.82305466703812
"78",2005,"Sydney",5.60816877565661
"79",2006,"Sydney",5.74322364717728
"80",2007,"Sydney",5.30908947180382
"81",2008,"Sydney",5.79681926020169
"82",2010,"Sydney",10.1061369097616
"83",2011,"Sydney",5.57880365292264
"84",2012,"Sydney",4.22719880237573
"85",2013,"Sydney",5.56733760905761
"86",2014,"Sydney",7.00032728091201
"87",2015,"Sydney",5.99097359686411
"88",2016,"Sydney",6.00423435973364
